#Name|Dust|NodeTop|NodeTopDepth|Filler|FillerDepth|Stone|WaterTop|WaterTopDepth|Water|River water|RiverBed|RiverBedDepth|CaveLiquid|DungeonNode|DungeonAlt|DungeonStair|Y-min|Y-max|Temperature|Humidity|MaxPos|MinPos|VerticalBlend
#GENERIC|||||||||||||||||||||||
generic_mantle||lib_materials:stone_brown|5|lib_materials:stone_basalt_01|6|lib_materials:liquid_lava_source|||||||||||-31000|-20000|50|50|||
stone_basalt_01_layer||lib_materials:stone_sand|5|lib_materials:stone_brown|4|lib_materials:stone_basalt_01||||lib_materials:liquid_lava_source|||||||-20000|-15000|50|50|||
stone_brown_layer||lib_materials:stone_desert|5|lib_materials:stone_sand|6|lib_materials:stone_brown||||lib_materials:liquid_lava_source|||||||-15000|-10000|50|50|||
stone_sand_layer||lib_materials:stone_sandstone_desert|5|lib_materials:stone_desert|5|lib_materials:stone_sand||||lib_materials:liquid_lava_source|||||||-10000|-6000|50|50|||
desert_stone_layer||lib_materials:stone_limestone_01|5|lib_materials:stone_sandstone_desert|4|lib_materials:stone_desert||||lib_materials:liquid_lava_source|||||||-6000|-5000|50|50|||
desert_sandstone_layer||lib_materials:stone_granite_01|5|lib_materials:stone_limestone_01|3|lib_materials:stone_sandstone_desert||||lib_materials:liquid_lava_source|||||||-5000|-4000|50|50|||
generic_stone_limestone_01_layer||lib_materials:stone|5|lib_materials:stone_granite_01|6|lib_materials:stone_limestone_01||||lib_materials:liquid_lava_source|||||||-4000|-3000|50|50|||
generic_granite_layer||lib_materials:stone_gabbro|5|lib_materials:stone|5|lib_materials:stone_granite_01||||lib_materials:liquid_lava_source|||||||-3000|-2000|50|50|||
generic_stone_layer||lib_materials:stone_andesite|5|lib_materials:stone_gabbro|6|lib_materials:stone||||lib_materials:liquid_lava_source|||||||-2000|ocean_depth|50|50|||
#HOT|||||||||||||||||||||||
hot_ocean||lib_materials:sand|4|lib_materials:sand|4|lib_materials:stone_basalt_01|||||||||||ocean_depth|beach_depth|hot|temperate|||
hot_beach||lib_materials:sand|2|lib_materials:sand|4|lib_materials:stone_basalt_01|||||||||||beach_depth|beach|hot|temperate|||
hot_humid||lib_materials:dirt_with_litter_rainforest|1|lib_materials:dirt_silt_02|4|lib_materials:stone_basalt_01|||||||||||beach|highland|hot|humid|||
hot_semihumid||lib_materials:dirt_with_grass_jungle_01|1|lib_materials:dirt_silty|4|lib_materials:stone_basalt_02|||||||||||beach|highland|hot|semihumid|||
hot_temperate||lib_materials:dirt_with_grass_jungle_02|1|lib_materials:dirt_dark|4|lib_materials:stone_granite_black|||||||||||beach|highland|hot|temperate|||
hot_semiarid||lib_materials:dirt_with_grass_brown|1|lib_materials:dirt|4|lib_materials:stone_granite_brown_02|||||||||||beach|highland|hot|semiarid|||
hot_arid||lib_materials:stone_sandstone_gravel|4|lib_materials:stone_brown|4|lib_materials:stone_gabbro||||lib_materials:stone_desert_gravel|||||||beach|highland|hot|arid|||
#WARM|||||||||||||||||||||||
warm_ocean||lib_materials:sand|4|lib_materials:sand|4|lib_materials:stone_basalt_03|||||||||||ocean_depth|beach_depth|warm|temperate|||
warm_beach||lib_materials:sand_white|1|lib_materials:sand_volcanic|4|lib_materials:stone_basalt_03|||||||||||beach_depth|beach|warm|temperate|||
warm_humid||lib_materials:dirt_with_grass_peat_moss|1|lib_materials:dirt_silt_02|4|lib_materials:stone_basalt_03|||||||||||beach|highland|warm|humid|||
warm_semihumid||lib_materials:dirt_with_grass_swamp|1|lib_materials:dirt_silty|4|lib_materials:stone_gneiss_02|||||||||||beach|highland|warm|semihumid|||
warm_temperate||lib_materials:dirt_with_grass_green|1|lib_materials:dirt_dark|4|lib_materials:stone_granite_brown|||||||||||beach|highland|warm|temperate|||
warm_semiarid||lib_materials:dirt_with_grass_dry|1|lib_materials:dirt|4|lib_materials:stone_brown|||||||||||beach|highland|warm|semiarid|||
warm_arid||lib_materials:stone_sandstone_white_gravel|3|lib_materials:stone_sand|4|lib_materials:stone_sand||||lib_materials:stone_sandstone_white_gravel|||||||beach|highland|warm|arid|||
#TEMPERATE|||||||||||||||||||||||
temperate_ocean||lib_materials:sand|4|lib_materials:sand|4|lib_materials:stone_sandstone|||||||||||ocean_depth|beach_depth|temperate|temperate|||
temperate_beach||lib_materials:sand_beach|2|lib_materials:sand|4|lib_materials:stone_sandstone|||||||||||beach_depth|beach|temperate|temperate|||
temperate_humid||lib_materials:dirt_with_grass|1|lib_materials:dirt_silt_02|4|lib_materials:stone|||||||||||beach|highland|temperate|humid|||
temperate_semihumid||lib_materials:dirt_with_grass_leafy|1|lib_materials:dirt_silty|4|lib_materials:stone_diorite|||||||||||beach|highland|temperate|semihumid|||
temperate_temperate||lib_materials:dirt_with_grass_prairie|1|lib_materials:dirt_dark|4|lib_materials:stone_bluestone|||||||||||beach|highland|temperate|temperate|||
temperate_semiarid||lib_materials:dirt_with_grass_dry|1|lib_materials:dirt|4|lib_materials:stone_greenstone|||||||||||beach|highland|temperate|semiarid|||
temperate_arid||lib_materials:stone_sandstone_desert_gravel|3|lib_materials:stone_brown|4|lib_materials:stone_granite_pink|||||||||||beach|highland|temperate|arid|||
#COOL|||||||||||||||||||||||
cool_ocean||lib_materials:sand|2|lib_materials:sand|4|lib_materials:stone_sandstone|||||||||||ocean_depth|beach_depth|cool|temperate|||
cool_beach||lib_materials:sand_beach|1|lib_materials:sand|4|lib_materials:stone_basalt_01|||||||||||beach_depth|beach|cool|temperate|||
cool_humid||lib_materials:dirt_with_litter_coniferous|1|lib_materials:dirt_silt_02|4|lib_materials:stone_basalt_01|||||||||||beach|highland|cool|humid|||
cool_semihumid||lib_materials:dirt_with_grass_grove|1|lib_materials:dirt_silty|4|lib_materials:stone_basalt_01|||||||||||beach|highland|cool|semihumid|||
cool_temperate||lib_materials:dirt_with_grass_cold|1|lib_materials:dirt_dark|4|lib_materials:stone_limestone_01|||||||||||beach|highland|cool|temperate|||
cool_semiarid||lib_materials:dirt_with_grass_brown|1|lib_materials:dirt_sandy|4|lib_materials:stone_sandstone|||||||||||beach|highland|cool|semiarid|||
cool_arid||lib_materials:stone_gravel|3|lib_materials:stone_granite_01|4|lib_materials:stone_basalt_01|||||||||||beach|highland|cool|arid|||
#COLD|||||||||||||||||||||||
cold_ocean||lib_materials:sand_volcanic|2|lib_materials:stone_brown|4|lib_materials:stone_basalt_01|||||||||||ocean_depth|beach_depth|cold|humid|||
