#Ore_Type|Ore_Name|Wherein|Threshold|Y_Min|Y_Max|Biome
dirt|dirt_silt_01|sand|0.8|beach_depth|beach|hot_humid_beach
dirt|dirt_black_with_grass_hot_humid_coastal|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_brown_with_grass_hot_humid_coastal|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_clayey_with_grass_hot_humid_coastal|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_sandy_with_grass_hot_humid_coastal|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_silty_with_grass_hot_humid_coastal|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
fungi|dirt_black_with_litter_fungi|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_hot_humid_coastal|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_clayey_with_grass_hot_humid_lowland|dirt_with_grass_hot_humid_lowland|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_sandy_with_grass_hot_humid_lowland|dirt_with_grass_hot_humid_lowland|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_silty_with_grass_hot_humid_lowland|dirt_with_grass_hot_humid_lowland|0.8|coastal|lowland|hot_humid_lowland
fungi|dirt_black_with_litter_fungi|dirt_with_grass_hot_humid_lowland|0.6|coastal|lowland|hot_humid_lowland
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_hot_humid_lowland|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_hot_humid_lowland|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_hot_humid_lowland|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_hot_humid_lowland|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_hot_humid_lowland|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_black_with_grass_hot_humid_shelf|dirt_with_grass_hot_humid_shelf|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_brown_with_grass_hot_humid_shelf|dirt_with_grass_hot_humid_shelf|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_clayey_with_grass_hot_humid_shelf|dirt_with_grass_hot_humid_shelf|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_sandy_with_grass_hot_humid_shelf|dirt_with_grass_hot_humid_shelf|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_silty_with_grass_hot_humid_shelf|dirt_with_grass_hot_humid_shelf|0.8|lowland|shelf|hot_humid_shelf
fungi|dirt_black_with_litter_fungi|dirt_with_grass_hot_humid_shelf|0.6|lowland|shelf|hot_humid_shelf
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_hot_humid_shelf|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_hot_humid_shelf|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_clayey_with_grass_hot_humid_highland|dirt_with_grass_hot_humid_highland|0.8|shelf|highland|hot_humid_highland
dirt|dirt_sandy_with_grass_hot_humid_highland|dirt_with_grass_hot_humid_highland|0.8|shelf|highland|hot_humid_highland
dirt|dirt_silty_with_grass_hot_humid_highland|dirt_with_grass_hot_humid_highland|0.8|shelf|highland|hot_humid_highland
fungi|dirt_black_with_litter_fungi|dirt_with_grass_hot_humid_highland|0.4|shelf|highland|hot_humid_highland
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_hot_humid_highland|0.8|shelf|highland|hot_humid_highland
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_hot_humid_highland|0.8|shelf|highland|hot_humid_highland
dirt|dirt_silt_01|sand_volcanic|0.8|beach_depth|beach|hot_semihumid_beach
