#Ore_Type|Ore_Name|Wherein|Threshold|Y_Min|Y_Max|Biome
#
#
#JUNGLE
#
#
dirt|dirt_silt_01|sand|0.8|beach_depth|beach|hot_beach
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|jungle
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|jungle
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|jungle
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|jungle
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|jungle
dirt|dirt_with_grass_jungle_lowland|dirt_with_litter_rainforest|0.8|coastal|highand|jungle
dirt|stone_basalt_01|stone_granite_black|0.8|highland|mountain|jungle
dirt|stone_basalt_02|stone_granite_black|0.8|highland|mountain|jungle
dirt|stone_granite_brown|stone_granite_black|0.8|highland|mountain|jungle
dirt|stone_granite_brown_02|stone_granite_black|0.8|highland|mountain|jungle
dirt|stone_granite_01|stone_granite_black|0.8|highland|mountain|jungle
dirt|stone_basalt_01|stone_granite_brown_02|0.8|mountain|strato|jungle
dirt|stone_basalt_02|stone_granite_brown_02|0.8|mountain|strato|jungle
dirt|stone_granite_black|stone_granite_brown_02|0.8|mountain|strato|jungle
dirt|stone_granite_brown|stone_granite_brown_02|0.8|mountain|strato|jungle
dirt|stone_granite_01|stone_granite_brown_02|0.8|mountain|strato|jungle
#
#
#DESERT
#
#
dirt|sand|stone_sandstone_gravel|0.8|beach|coastal|desert
dirt|sand_desert|stone_sandstone_gravel|0.8|beach|coastal|desert
dirt|sand_white|stone_sandstone_gravel|0.8|beach|coastal|desert
dirt|stone_sandstone|stone_sandstone_gravel|0.8|beach|coastal|desert
dirt|stone_sandstone_desert_gravel|stone_sandstone_gravel|0.8|beach|coastal|desert
dirt|stone_sandstone_white|stone_sandstone_gravel|0.8|beach|coastal|desert
dirt|sand|stone_sandstone_gravel|0.8|coastal|lowland|desert
dirt|sand_desert|stone_sandstone_gravel|0.8|coastal|lowland|desert
dirt|sand_white|stone_sandstone_gravel|0.8|coastal|lowland|desert
dirt|stone_sandstone|stone_sandstone_gravel|0.8|coastal|lowland|desert
dirt|stone_sandstone_desert_gravel|stone_sandstone_gravel|0.8|coastal|lowland|desert
dirt|stone_sandstone_desert|stone_sandstone_desert_gravel|0.8|coastal|lowland|desert
dirt|stone_sandstone_desert|stone_sandstone_gravel|0.8|coastal|lowland|desert
dirt|stone_sandstone_white|stone_sandstone_gravel|0.8|coastal|lowland|desert
dirt|sand_white|stone_sandstone_gravel|0.8|lowland|shelf|desert
