#Ore_Type|Ore_Name|Wherein|Threshold|Y_Min|Y_Max|Biome
dirt|dirt_silt_01|sand|0.8|beach_depth|beach|hot_beach
dirt|dirt_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
fungi|dirt_with_litter_fungi|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_black_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_brown_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_clayey_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_sandy_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_silty_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid
dirt|dirt_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
fungi|dirt_with_litter_fungi|dirt_with_litter_rainforest|0.6|coastal|lowland|hot_humid
dirt|dirt_black_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_brown_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_clayey_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_sandy_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_silty_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
