#Ore_Type|Ore_Name|Wherein|Threshold|Y_Min|Y_Max|Biome
dirt|dirt_silt_01|sand|0.8|beach_depth|beach|hot_humid_beach
dirt|dirt_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
fungi|dirt_with_litter_fungi|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_black_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_brown_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_clayey_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_sandy_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_silty_with_grass_hot_humid_coastal|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|beach|coastal|hot_humid_coastal
dirt|dirt_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
fungi|dirt_with_litter_fungi|dirt_with_litter_rainforest|0.6|coastal|lowland|hot_humid_lowland
dirt|dirt_black_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_brown_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_clayey_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_sandy_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_silty_with_grass_hot_humid_lowland|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid_lowland
dirt|dirt_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
fungi|dirt_with_litter_fungi|dirt_with_litter_rainforest|0.6|lowland|shelf|hot_humid_shelf
dirt|dirt_black_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_brown_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_clayey_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_sandy_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_silty_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid_shelf
dirt|dirt_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
fungi|dirt_with_litter_fungi|dirt_with_litter_rainforest|0.4|shelf|highland|hot_humid_highland
dirt|dirt_black_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_brown_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_clayey_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_sandy_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_silty_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid_highland
dirt|stone_basalt_01|stone_granite_black|0.8|highland|mountain|hot_humid_mountain
dirt|stone_basalt_02|stone_granite_black|0.8|highland|mountain|hot_humid_mountain
dirt|stone_granite_brown|stone_granite_black|0.8|highland|mountain|hot_humid_mountain
dirt|stone_granite_brown_02|stone_granite_black|0.8|highland|mountain|hot_humid_mountain
dirt|stone_granite_01|stone_granite_black|0.8|highland|mountain|hot_humid_mountain
dirt|ice|stone_granite_black|0.8|highland|mountain|hot_humid_mountain
dirt|ice_2|stone_granite_black|0.8|highland|mountain|hot_humid_mountain
dirt|snow_block|stone_granite_black|0.8|highland|mountain|hot_humid_mountain
dirt|stone_basalt_01|stone_granite_brown_02|0.8|mountain|strato|hot_humid_strato
dirt|stone_basalt_02|stone_granite_brown_02|0.8|mountain|strato|hot_humid_strato
dirt|stone_granite_black|stone_granite_brown_02|0.8|mountain|strato|hot_humid_strato
dirt|stone_granite_brown|stone_granite_brown_02|0.8|mountain|strato|hot_humid_strato
dirt|stone_granite_01|stone_granite_brown_02|0.8|mountain|strato|hot_humid_strato
dirt|ice|stone_granite_brown_02|0.8|mountain|strato|hot_humid_strato
dirt|ice_2|stone_granite_brown_02|0.8|mountain|strato|hot_humid_strato
dirt|snow_block|stone_granite_brown_02|0.8|mountain|strato|hot_humid_strato
dirt|dirt_silt_01|sand_volcanic|0.8|beach_depth|beach|hot_semihumid_beach
dirt|dirt_black_with_grass_hot_semihumid_coastal|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_brown_with_grass_hot_semihumid_coastal|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_clayey_with_grass_hot_semihumid_coastal|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_sandy_with_grass_hot_semihumid_coastal|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_silty_with_grass_hot_semihumid_coastal|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_hot_semihumid_coastal|0.8|beach|coastal|hot_semihumid_coastal
dirt|dirt_black_with_grass_hot_semihumid_lowland|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_brown_with_grass_hot_semihumid_lowland|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_clayey_with_grass_hot_semihumid_lowland|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_sandy_with_grass_hot_semihumid_lowland|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_silty_with_grass_hot_semihumid_lowland|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_hot_semihumid_lowland|0.8|coastal|lowland|hot_semihumid_lowland
dirt|dirt_black_with_grass_hot_semihumid_shelf|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_brown_with_grass_hot_semihumid_shelf|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_clayey_with_grass_hot_semihumid_shelf|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_sandy_with_grass_hot_semihumid_shelf|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_silty_with_grass_hot_semihumid_shelf|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_hot_semihumid_shelf|0.8|lowland|shelf|hot_semihumid_shelf
dirt|dirt_black_with_grass_hot_semihumid_highland|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_brown_with_grass_hot_semihumid_highland|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_clayey_with_grass_hot_semihumid_highland|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_sandy_with_grass_hot_semihumid_highland|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_silty_with_grass_hot_semihumid_highland|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_hot_semihumid_highland|0.8|shelf|highland|hot_semihumid_highland
dirt|stone_basalt_02|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid_mountain
dirt|stone_granite_black|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid_mountain
dirt|stone_granite_brown|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid_mountain
dirt|stone_granite_01|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid_mountain
dirt|stone_gabbro|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid_mountain
dirt|ice|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid_mountain
dirt|ice_2|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid_mountain
dirt|snow_block|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid_mountain
dirt|stone_basalt_02|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|stone_granite_black|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|stone_granite_brown|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|stone_granite_01|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|stone_granite_brown_02|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|ice|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|ice_2|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|snow_block|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|dirt_black_with_grass_hot_temperate_coastal|dirt_with_grass_hot_temperate_coastal|0.8|beach|coastal|hot_temperate_coastal
dirt|dirt_brown_with_grass_hot_temperate_coastal|dirt_with_grass_hot_temperate_coastal|0.8|beach|coastal|hot_temperate_coastal
dirt|dirt_clayey_with_grass_hot_temperate_coastal|dirt_with_grass_hot_temperate_coastal|0.8|beach|coastal|hot_temperate_coastal
dirt|dirt_sandy_with_grass_hot_temperate_coastal|dirt_with_grass_hot_temperate_coastal|0.8|beach|coastal|hot_temperate_coastal
dirt|dirt_silty_with_grass_hot_temperate_coastal|dirt_with_grass_hot_temperate_coastal|0.8|beach|coastal|hot_temperate_coastal
dirt|dirt_black_with_grass_hot_temperate_lowland|dirt_with_grass_hot_temperate_lowland|0.8|coastal|lowland|hot_temperate_lowland
dirt|dirt_brown_with_grass_hot_temperate_lowland|dirt_with_grass_hot_temperate_lowland|0.8|coastal|lowland|hot_temperate_lowland
dirt|dirt_clayey_with_grass_hot_temperate_lowland|dirt_with_grass_hot_temperate_lowland|0.8|coastal|lowland|hot_temperate_lowland
dirt|dirt_sandy_with_grass_hot_temperate_lowland|dirt_with_grass_hot_temperate_lowland|0.8|coastal|lowland|hot_temperate_lowland
dirt|dirt_silty_with_grass_hot_temperate_lowland|dirt_with_grass_hot_temperate_lowland|0.8|coastal|lowland|hot_temperate_lowland
dirt|dirt_black_with_grass_hot_temperate_shelf|dirt_with_grass_hot_temperate_shelf|0.8|lowland|shelf|hot_temperate_shelf
dirt|dirt_brown_with_grass_hot_temperate_shelf|dirt_with_grass_hot_temperate_shelf|0.8|lowland|shelf|hot_temperate_shelf
dirt|dirt_clayey_with_grass_hot_temperate_shelf|dirt_with_grass_hot_temperate_shelf|0.8|lowland|shelf|hot_temperate_shelf
dirt|dirt_sandy_with_grass_hot_temperate_shelf|dirt_with_grass_hot_temperate_shelf|0.8|lowland|shelf|hot_temperate_shelf
dirt|dirt_silty_with_grass_hot_temperate_shelf|dirt_with_grass_hot_temperate_shelf|0.8|lowland|shelf|hot_temperate_shelf
dirt|dirt_black_with_grass_hot_temperate_highland|dirt_with_grass_hot_temperate_highland|0.8|shelf|highland|hot_temperate_highland
dirt|dirt_brown_with_grass_hot_temperate_highland|dirt_with_grass_hot_temperate_highland|0.8|shelf|highland|hot_temperate_highland
dirt|dirt_clayey_with_grass_hot_temperate_highland|dirt_with_grass_hot_temperate_highland|0.8|shelf|highland|hot_temperate_highland
dirt|dirt_sandy_with_grass_hot_temperate_highland|dirt_with_grass_hot_temperate_highland|0.8|shelf|highland|hot_temperate_highland
dirt|dirt_silty_with_grass_hot_temperate_highland|dirt_with_grass_hot_temperate_highland|0.8|shelf|highland|hot_temperate_highland
dirt|stone_granite_black|stone_gabbro|0.8|highland|mountain|hot_temperate_mountain
dirt|stone_granite_brown|stone_gabbro|0.8|highland|mountain|hot_temperate_mountain
dirt|stone_granite_brown_02|stone_gabbro|0.8|highland|mountain|hot_temperate_mountain
dirt|stone_granite_01|stone_gabbro|0.8|highland|mountain|hot_temperate_mountain
dirt|stone_brown|stone_gabbro|0.8|highland|mountain|hot_temperate_mountain
dirt|ice|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|ice_2|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|snow_block|stone_gabbro|0.8|mountain|strato|hot_semihumid_strato
dirt|stone_granite_black|stone_brown|0.8|mountain|strato|hot_temperate_strato
dirt|stone_granite_brown|stone_brown|0.8|mountain|strato|hot_temperate_strato
dirt|stone_granite_brown_02|stone_brown|0.8|mountain|strato|hot_temperate_strato
dirt|stone_granite_01|stone_brown|0.8|mountain|strato|hot_temperate_strato
dirt|stone_gabbro|stone_brown|0.8|mountain|strato|hot_temperate_strato
dirt|ice|stone_brown|0.8|mountain|strato|hot_temperate_strato
dirt|ice_2|stone_brown|0.8|mountain|strato|hot_temperate_strato
dirt|snow_block|stone_brown|0.8|mountain|strato|hot_temperate_strato
dirt|dirt_black_with_grass_hot_semiarid_coastal|dirt_with_grass_hot_semiarid_coastal|0.8|beach|coastal|hot_semiarid_coastal
dirt|dirt_brown_with_grass_hot_semiarid_coastal|dirt_with_grass_hot_semiarid_coastal|0.8|beach|coastal|hot_semiarid_coastal
dirt|dirt_clayey_with_grass_hot_semiarid_coastal|dirt_with_grass_hot_semiarid_coastal|0.8|beach|coastal|hot_semiarid_coastal
dirt|dirt_sandy_with_grass_hot_semiarid_coastal|dirt_with_grass_hot_semiarid_coastal|0.8|beach|coastal|hot_semiarid_coastal
dirt|dirt_silty_with_grass_hot_semiarid_coastal|dirt_with_grass_hot_semiarid_coastal|0.8|beach|coastal|hot_semiarid_coastal
dirt|dirt_with_grass_dry|dirt_with_grass_hot_semiarid_coastal|0.8|beach|coastal|hot_semiarid_coastal
dirt|dirt_black_with_grass_hot_semiarid_lowland|dirt_with_grass_hot_semiarid_lowland|0.8|coastal|lowland|hot_semiarid_lowland
dirt|dirt_brown_with_grass_hot_semiarid_lowland|dirt_with_grass_hot_semiarid_lowland|0.8|coastal|lowland|hot_semiarid_lowland
dirt|dirt_clayey_with_grass_hot_semiarid_lowland|dirt_with_grass_hot_semiarid_lowland|0.8|coastal|lowland|hot_semiarid_lowland
dirt|dirt_sandy_with_grass_hot_semiarid_lowland|dirt_with_grass_hot_semiarid_lowland|0.8|coastal|lowland|hot_semiarid_lowland
dirt|dirt_silty_with_grass_hot_semiarid_lowland|dirt_with_grass_hot_semiarid_lowland|0.8|coastal|lowland|hot_semiarid_lowland
dirt|dirt_with_grass_dry|dirt_with_grass_hot_semiarid_lowland|0.8|coastal|lowland|hot_semiarid_lowland
dirt|dirt_black_with_grass_hot_semiarid_shelf|dirt_with_grass_hot_semiarid_shelf|0.8|lowland|shelf|hot_semiarid_shelf
dirt|dirt_brown_with_grass_hot_semiarid_shelf|dirt_with_grass_hot_semiarid_shelf|0.8|lowland|shelf|hot_semiarid_shelf
dirt|dirt_clayey_with_grass_hot_semiarid_shelf|dirt_with_grass_hot_semiarid_shelf|0.8|lowland|shelf|hot_semiarid_shelf
dirt|dirt_sandy_with_grass_hot_semiarid_shelf|dirt_with_grass_hot_semiarid_shelf|0.8|lowland|shelf|hot_semiarid_shelf
dirt|dirt_silty_with_grass_hot_semiarid_shelf|dirt_with_grass_hot_semiarid_shelf|0.8|lowland|shelf|hot_semiarid_shelf
dirt|dirt_with_grass_dry|dirt_with_grass_hot_semiarid_shelf|0.8|lowland|shelf|hot_semiarid_shelf
dirt|dirt_black_with_grass_hot_semiarid_highland|dirt_with_grass_hot_semiarid_highland|0.8|shelf|highland|hot_semiarid_highland
dirt|dirt_brown_with_grass_hot_semiarid_highland|dirt_with_grass_hot_semiarid_highland|0.8|shelf|highland|hot_semiarid_highland
dirt|dirt_clayey_with_grass_hot_semiarid_highland|dirt_with_grass_hot_semiarid_highland|0.8|shelf|highland|hot_semiarid_highland
