#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Particle_Img|Draw_Type|Param_Type|ParamType2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Use_Alpha|Alpha|Sun_Prop|Damage_Per_Second|Grnd_Cnt|Legacy|Groups|Groups2|Max_Drops|Drops|Sounds|Group_Cracky|Group_Crumbly|Group_Choppy|Group_Snappy|Group_Bendy|Group_Oddly_Breakable_by_Hand|Group_Level|Group_Stone|Group_Sand|Group_Glass|Group_Ore|Group_Metal|Group_Mineral|Group_Ice|Group_Snowy|Group_Dirt|Group_Grass|Group_Soil|Group_BakedClay|Group_Liquid|Group_Lava|Group_Igniter|Group_Mud|Group_Oil|Group_Flammable|Group_Quicksand|Group_Water|Group_Puts_Out_Fire|Group_Cools_Lava|Group_Falling_Node|Group_Not_In_Creative_Inventory|Group_Drown|Group_Disable_Jump|Group_Mohs|Group_RockType|Grp_MatType|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|PostEffectColor|vframe_asp_w|vframe_asp_h|vframe_len
##     Stone Brick Block Nodes     ##|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
stone_test1|Stone Test1|||lib_materials_stone_default.png^(lib_materials_stone_desert_default.png^[mask:blox_stone_loop.png)|||||||||||||||TRUE|TRUE|cracky=3,stone=1|cracky 3,stone 1||lib_materials:stone_cobble|stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_test2|Stone Test2|||lib_materials_stone_default.png^(lib_materials_stone_desert_default.png^blox_wood_diamond.png)|||||||||||||||TRUE|TRUE|cracky=3,stone=1|cracky 3,stone 1||lib_materials:stone_cobble|stone|3|||||||1||||||||||||||||||||||||||||||||||||||
##|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
##|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
##     Stone Brick Block Nodes     ##|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
stone|Stone|default|stone|lib_materials_stone_default.png|||||||||||||||TRUE|TRUE|cracky=3,stone=1|cracky 3,stone 1||lib_materials:stone_cobble|stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_adobe|Adobe|darkage|adobe|lib_materials_stone_adobe.png|||||||||||||||TRUE||crumbly=3|crumbly 3|||sand||3||||||||||||||||||||||||||||||||||||||||||||
stone_adobe_cobble|Adobe_Cobble|||lib_materials_stone_adobe.png^lib_materials_cobble_mask.png|||||||||||||||TRUE||crumbly=3|crumbly 3|||sand||3||||||||||||||||||||||||||||||||||||||||||||
stone_andesite|Andesite|rocks|andesite|lib_materials_stone_andesite.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||7|igneous=1|stone=1||||||||||
stone_asphalt_roof_tile|Asphalt Roof Tile|darkage|asphalt_roof_tile|lib_materials_stone_asphalt_roof_tile.png|||||||||||||||TRUE||crumbly=3|crumbly 3|||sand||3||||||||||||||||||||||||||||||||||||||||||||
stone_basalt_01|Basalt 01|darkage|basalt|lib_materials_stone_basalt_01.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|1|lib_materials:stone_basalt_01_cobble,lib_materials:stone_basalt_01 20|stone|3|||||||1||||||||||||||||||||||||||7|igneous=1|stone=1||||||||||
stone_basalt_01_block|Basalt 01 Block|darkage||lib_materials_stone_basalt_01_block.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|3|||||||1||||||||||||||||||||||||||7|igneous=1|block=1||||||||||
stone_basalt_01_brick|Basalt 01 Brick|darkage||lib_materials_stone_basalt_01_brick.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|3|||||||1||||||||||||||||||||||||||7|igneous=1|brick=1||||||||||
stone_basalt_01_cobble|Basalt 01 Cobble|darkage|basalt_cobble|lib_materials_stone_basalt_01_cobble.png|||||||||||||||FALSE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||7|igneous=1|cobble=1||||||||||
